"","cell1","cell2","cell3","cell4","cell5","cell6","cell7","cell8","cell9","cell10","cell11","cell12","cell13","cell14","cell15","cell16","cell17","cell18","cell19","cell20","cell21","cell22","cell23","cell24","cell25","cell26","cell27","cell28","cell29","cell30","cell31","cell32","cell33","cell34","cell35","cell36","cell37","cell38","cell39","cell40","cell41","cell42","cell43","cell44","cell45","cell46","cell47","cell48","cell49","cell50","cell51","cell52","cell53","cell54","cell55","cell56","cell57","cell58","cell59","cell60","cell61","cell62","cell63","cell64","cell65","cell66","cell67","cell68","cell69","cell70","cell71","cell72","cell73","cell74","cell75","cell76","cell77","cell78","cell79","cell80","cell81","cell82","cell83","cell84","cell85","cell86","cell87","cell88","cell89","cell90","cell91","cell92","cell93","cell94","cell95","cell96","cell97","cell98","cell99","cell100"
"gene300",0,0,25.9894464837007,0,0,0,0,0,0,0,50.1304598764596,111.496381928064,0,0,0,0,0,0,0,0,114.239219961352,49.4559718562684,26.1284523339443,0,0,1.39677727317493,0,0,147.582773050041,0,0,705.865409875633,0,104.541024424937,0,8.79131932613482,0,0,0,0,3.62472924634155,0,0,0,0,0,0,0,0,0,0,39.2615164793279,0,0,0,0,0,0,11.5929865401102,6.63368788436498,0,0,0,189.874975799981,0,0,0,7.08574771927569,0,3.94973466482392,22.1400843621629,0,0,0,0,0,0,0,0,0,0,97.8593305080523,0,3.81360722070286,0,0,704.286906573724,0,2.20971142895051,0,0,0,0,131.267702151258,0,0,0,0,0,0
"gene301",0,0,0,174.231543576392,0,171.156591376185,0,0,0,484.160499460616,0,388.448203379952,0,0,29.3452468147374,0,0,0,80.5863069729344,0,0,941.370721644748,0,0,0,0,332.22961378621,9.47978508483247,0,53.2755383819147,0,0,0,234.549721596401,0,48.4544424605018,67.2074158736461,0,0,0,54.9008319287242,41.4171892079286,0,0,0,2178.22850631158,290.161578985392,379.796726397328,894.382274217257,0,64.5235644497167,130.678531427057,0,0,41.1131372680771,0,0,0,133.582835097604,136.200399872076,0,0,0,0,424.660469131406,2397.90526417667,0,0,0,1131.89413645915,0,0,0,0,0,110.513965938235,54.7265341534445,77.8736166908033,46.3281525864075,0,0,0,0,0,212.714224061066,0,244.512191556667,0,41.1578913610964,0,0,30.4928789428011,0,87.1190739488487,57.206751263672,0,157.271503439211,0,10.5745688049848,601.969108565714
"gene302",0,0,0,0,16.6533478078359,0,0,31.3953981243186,0,0,10.043865514188,0,0,0,0,4.22414290050145,0,0,13.5581832613652,0,0,0,0,4.2019256407186,0,0,0,0,0,0,0,39.7221379910975,0,0,0,10.2803621258665,0,0,0,0,0,0,0,24.4311791291902,0,0,0,0,0,0,19.2381413034414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.2855771195498,0,8.35297910420649,0,0,0,209.794307512753,0,0,0,0,24.2778062395492,14.5112631077503,0,0,0,0,0,0,51.3796466653813,0,0,0,0,0,0,0,0,0,0,0
"gene303",731.394929004042,669.018823405048,0,316.561192235648,0,0,190.357013268962,389.962693712461,0,0,0,0,727.562377046614,0,853.019505026498,0,0,732.358503994498,879.131591963547,0,227.770820924389,0,0,0,1400.03627856586,142.509749075002,0,0,399.940736304281,764.619205590595,282.472648080977,0,2715.89381375774,0,480.128378265719,989.386100236253,523.559610196546,40.4989967769599,0,164.092926533256,1079.86631810112,0,216.498540543546,0,457.417779047321,201.331299072097,0,0,0,0,0,0,1019.72905127946,378.337793509455,0,249.393516231816,0,3589.45714680647,340.755101092446,0,0,69.7061797258434,0,4710.96892771625,137.367345793793,58.359970750926,0,376.250509214613,163.578724343474,519.067579862983,0,1065.62833453073,173.358124687812,0,0,1405.03466941083,86.3883775778721,929.930933036441,0,0,0,674.382880666539,0,67.9420935483929,156.88642243652,574.320985219484,846.506128137685,0,483.497711455377,375.65117562129,915.065328456556,0,961.842337372328,0,135.416315795487,62.3680719179615,0,0,0,245.395926589996
"gene304",0,0,0,0,8.43959142840066,0,0,4.7989485440045,0,0,0,77.4387402212344,0,0,26.7532344697804,20.9707540414261,0,0,0,17.9277867456892,0,0,2.22561295574113,47.2958398724621,0,0,0,0,0,0,0,0,0,0,0,0,81.7632932051041,0,0,0,0,0,0,34.1404570753628,0,0,0,0,4.03272950278215,0,7.65269525089645,0,0,0,0,0,0,0,0,38.8833322871388,0,0,0,0,0,33.3212451487142,0,0,0,58.6719671611148,0,24.4846433581577,0,28.7558364545109,0,1.89872866651201,0,0,0,0,0,0,0,3.53900237127485,0,0,0,0,0,9.43328158242216,0,0,0,0,59.7526971624777,0,0,0,0,9.44349453169967
"gene305",0,563.345473123511,0,0,0,405.302573232978,0,0,0,0,773.767086457149,82.742678396221,0,0,0,467.331867252562,0,0,0,93.0379435540052,0,0,0,0,0,263.790760941833,884.506977275652,0,266.108699503065,0,0,18.7069228320787,0,0,0,51.5809921922091,0,0,441.348849243946,785.349763902254,126.147505903081,0,0,216.381889168413,1263.18194339966,2306.52411509222,2051.20356824568,799.869041370396,2272.90811000779,0,2814.97709404165,194.379449332726,71.8693220216019,1402.02591382493,28.6938766156894,0,0,0,190.475102748227,219.240336630931,50.3633075604814,80.9119740271071,4128.53477556614,0,0,0,412.681715812322,645.455702595247,29.162193201745,0,0,4715.43269693173,3162.79540837409,408.442396103965,0,1442.17443250887,18.0364153834416,0,1424.96942935642,110.577905373562,254.175426205273,614.335967781442,0,1004.16988376225,0,0,645.760620974886,0,507.747687743702,34.4909877796232,255.139448502827,0,119.324596731496,0,35.0661568077738,0,118.578299484283,0,0,0
"gene306",481.017133418666,0,524.634528689244,104.911809967296,994.922792306083,723.834857894157,2771.18335315196,0,2.41287703983608,0,35633.7159745479,0,3026.72742619457,0,7154.732256917,0,578.338979025375,209.761519099236,9926.64390014757,0,10547.1909576081,0,0,1.07148508268776,707.90645026931,1309.22623650055,1706.4035760121,3823.65632931943,0,0,2659.40741770941,1555.65799407411,0,0,231.653642315228,9017.07510159611,0,970.315877460441,0,0,0,1291.9364538903,0,366.841627451903,513.516052325671,0,0,12053.5735076175,0,1595.53064999694,257.916143118828,171.721925212181,545.385639363746,0,563.246408197291,0,0,25.8879386073136,3948.64887013715,562.378743782786,0,0,909.408711196253,322.258151287549,501.664209273277,1022.50253185149,0,1586.81501312473,0,1864.58833340276,0,0,24976.8624515273,0,622.547347525291,0,0,60012.5151503893,208.722226609472,335.048686387785,0,0,1223.15156163014,17349.0026572976,0,35.3053441217188,0,0,0,376.973303863253,0,114.658940361767,322.213172536466,51.9565346455191,17590.2834258962,0,0,0,0,874.304706939092
"gene307",0,0,71.9525822806555,34.8005329826418,0,0,0,685.452846728103,285.277745421553,0,240.951686244588,17.9161180974095,19.7191451651427,0,830.493414676157,0,29.2688094322811,263.304958462776,0,0,0,0,0,0,0,0,0,1551.11829442372,69.2208155527722,544.795147272138,42.8116407158956,0,0,23.9845022821482,297.343603676696,0,727.330075870776,0,0,0,0,0,0,574.561630227963,0,90.6183629502728,0,0,0,0,0,0,0,0,0,5.18369028294285,0,0,0,0,0,0,0,0,0,0,0,545.937375150108,0,327.475383345198,0,0,0,0,0,0,26.6532059951596,0,0,0,0,0,0,82.7130569352787,0,2524.31242517747,95.1866033529329,0,0,0,0,0,0,59.2212047315679,0,0,230.178958129802,0,0,0
"gene308",120.804513536992,0,0,0,0,0,71.2475010456037,447.619835652279,44.1030961279349,22.9134343255831,0,165.936328774317,2954.95900211978,121.120079476952,0,0,0,0,0,0,0,0,0,0,0,0,0,98.6482352397193,0,0,0,6.92957267403824,564.911931473981,22.4713854844077,5.24927811905554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666.582697181145,0,0,0,0,143.246451524768,0,0,21.7183605175048,0,0,0,454.282245873173,40.0419669832886,0,0,250.318544302,0,0,0,0,75.1036881129898,0,130.320680792294,12.4074827638809,857.84443979409,195.204532466183,0,0,79.9455200335574,0,57.8139974128317,392.592225996615,0,0,470.683086479622,0,0,0,60.2045282089525,567.979287147842,158.097426054864,0,0,0,12.843953387957,815.461527085224,536.481570965918,10.5262240175474,257.223464216728
"gene309",0,0,0,0,0,6.50246605840991,0,0,0,23.9094837564936,0,7.69691530275092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.8623582358416,0,24.2497492049386,0,0,0,0,0,0,0,856.107788975267,0,30.4445141238031,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6275317811669,0,0,0,0,0,0,0,0,132.417109331173,0,0,0,0,0,0,0,3.36797246297795,22.4159633945577,0,19.8785046942318,0,0,0,27.5471630425471,0,0,0,0,0,22.5261641698477,0,0,0,0,0,0,0,275.857231251372,0,0,0,0
"gene310",0,0,0,1014.65879220023,0,0,0,0,0,0,5891.1681482319,0,0,0,0,0,40.0983860543756,42.2038241222854,21.5577582977037,0,0,68.0391658104631,61.1952411573585,48.457103060766,0,102.487799150481,540.398998255514,0,171.291378163608,3.85179833887661,23.8716394961903,0,956.075021397477,87.4610626462641,0,0,0,0,45.6664755993301,0,40.8950354752155,795.668884129799,0,295.183853096172,540.203741510492,49.6702588595619,0,0,0,0,0,0,0,0,0,0,0,0,66.1026802748449,0,0,0,0,0,12.9693867422017,1292.16502464016,0,0,0,0,0,167.261338067158,0,0,0,0,0,0,0,0,231.601169774207,0,0,271.240161225958,0,0,0,0,0,1866.05751096516,0,0,4.26783277721696,2.18862957095339,5.10074103192505,45.235856101232,0,0,0,0
"gene311",14597.1306686799,270.66234218978,1351.29224863914,0,15.8946408897441,0,0,37.9097887107756,0,22.6091334537204,0,0,8.42361719924974,0,0,0,0,0,0,0,0,0,0,194.088463853366,0,299.934119452006,1606.65131841209,0,348.987416079277,35.3688815168127,587.713405281455,0,43.242999028382,0,2412.00809943067,0,0,377.866385895614,0,12.7205911125866,14.1591898205316,0,0,465.256991627365,0,0,0,2.64495748318863,0,0,328.042100950196,498.63231971445,0,0,0,240.029949361339,31.9143697611512,36.2950264433601,29.7854565536958,0,0,0,0,0,48.5666940054895,0,0,376.999640793785,376.39742563458,73.6891937612543,0,0,86.7181760857311,649.600214366326,0,0,0,0,457.926717076607,0,0,0,0,196.923499003885,512.568460433415,180.77810576223,1621.63937778479,119.138452252774,8.76559745983831,0,0,0,0,123.68952815077,0,0,0,727.883497454353,0,92.8412609015813
"gene312",0,0,0,0,69.9582883551634,0,0,0,0,0,71.9104239479824,0,264.641772333793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.556359264058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.089278246121,0,47.1204239638923,3.21483660354757,63.0418209085357,0,232.595972844745,19.6634334836939,0,0,0,0,0,12.5798800875137,0,98.1040826766081,224.647353490448,0,56.6472639823041,0,6.45639959573409,0,266.223202423815,23.1120039315292,56.2107536300346,0,0,15.4386057304935,0,0,0,261.770547599265,0,0,0,44.5451507856883,470.721228229851,10.4160659680722,0,0,0,9.87348512952301,30.9012463379039,0,46.2282809189054,0,0,0,137.426043263448,0,0,0,0,852.145932247671,0,0
"gene313",140.586896248814,0,0,4.01311407546778,0,0,0,0,0,281.516551213883,0,12.5631671163601,108.558974234759,0,0,0,0,0,0,0,0,0,14.7603998942038,0,0,0,0,0,32.3872151438249,317.543498147364,0,0,53.8510589352643,0,0,0,0,0,0.988963728724502,0,0,37.2793411321384,0,99.6996663796248,0,73.309390758695,0,0,0,0,0,72.3845205357768,0,14.4507719100205,0,0,0,0,89.004039232973,0,0,0,0,0,0,0,0,0,0,0,0,119.434183504701,0,0,0,0,11201.1574127023,0,71.9531171127194,0,14.0363538665008,0,0,0,0,0,0,388.526139129205,0,0,0,0,0,0,219.841004762825,0,0,0,0,0
"gene314",0,0,0,0,115.27007646365,6.29305866517308,82.2059474770408,0,0,0,0,0,0,0,0,0,0,40.7115446252827,0,0,109.169577006546,0,0,0,0,0,0,0,0,0,55.4311326002271,0,0,544.205378975706,31.7877161423944,0,0,0,0,0,0,0,577.451349032811,10.2010216305283,0,1.03999647489569,0,0,0,0,0,41.1504484985144,0,0,0,59.283805938063,0,0,0,0,0,0,0,0,0,0,0,0,15.8890815548008,0,0,0,0,0,0,0,0,157.82538518182,8.75069662692581,9.70957398241954,0,0,0,132.808752170891,0,0,0,0,0,0,0,0,0,153.858843500601,0,0,0,0,0,0
"gene315",0,0,8.11370152367656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00658316729321,0,0,0,0,0,0,0,0,0,0,0,0,0,34.7768279486333,25.0970025945866,0,52.6562905906055,0,0,0,0,0,0,11.2679520220582,0,0,24.1934136306772,275.016079507697,12.8660045005889,0,0,0,0,155.399877952673,0,0,0,0,0,0,0,0,0,2.13499607123965,0,0.523124508614843,17.7358803236119,0,199.155834481824,0,111.17948993661,92.1267940360264,590.865193073379,876.11945774885,8.25049174185031,1.27073089366335,0,0,0,0,0,0,0,0,28.6851943964717,0,137.027411328515,0,0,42.1848093630902,0,0,151.673861288245,0,0,0,0,0,70.8473128783063,3.57256471290587,0,17.8261131919605
"gene316",5951.53148816448,0,0,0,247.445485440227,293.513376612834,123.252498095886,0,0,17.6548644618384,0,0,0,74.2216196542034,27.6543572357149,0,0,0,94.3810299930928,0,0,0,941.146370119075,42.1085591267962,575.976514220163,0,16.3667853535984,396.912541928188,615.681524541206,0,0,0,15.4519143956947,1381.88590316492,0,0,18.8455067703492,114.661618447927,0,0,158.539738386925,0,0,0,146.043227896768,161.695907994696,3234.54836252206,0,0,0,1192.65699237338,0,0,0,0,0,350.78823102714,444.107688483094,205.220106878912,0,0,598.875608941766,0,0,812.7843491468,235.593027463777,0,288.64474497138,0,0,517.026782327879,215.504183303041,427.989152902225,0,0,0,0,63.0072312323502,0,0,0,0,133.88489297388,4929.43501063217,0,194.03870727455,0,0,0,0,0,215.103948501649,0,31.9263551045561,291.623502741622,126.97646495839,0,0,352.152728925343,0
"gene317",0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.9885729224214,0,0,130.603561735213,0,0,0,0,0,105.384076443018,0,0,36.0828069464754,63.6725986367876,0,0,0,38.1810829569951,0,6.49056601395681,0,0,0,0,0,0,40.4949951469887,0,0,0,0,0,35.2656735305245,0,0,0,0,0,0,0,0,0,0,11.6866194572002,0,0,0,0,26.6827378225006,0,137.03969776074,32.1159652984569,45.0283297187339,0,328.658405310795,0,0,0,0,0,16.673084541567,0,0,0,0,0,0,169.05550605582,0,0,119.014445305449,24.9716734779404,0,0,0,0,0,51.3338439463239,0,0,0,0,29.2302703545044,0,26.5713009580179,0
"gene318",0,16.7857499782007,0,394.07290303088,0.564617327380754,0,0,0,0,46.2901762567573,0,0,0,0,0,0,0,0,0,4.62351456069269,0,0,0,0,0,0,10.9040191848389,0,1472.4982747644,0,0,12.4194749902073,0,0,1241.98201180068,59.854087694671,0,0,270.485844687804,0,0,0,0,0,142.584282010294,0,0,0,0,0,0,13.7351629747316,0,17.0238511210317,0,26.602775451997,0,0,879.256017753382,0,0,0,0,0,3.9959359728931,0,0,0,0,0,37.0710885177294,0,0,422.588902158031,0,247.066061548562,0,0,65.6328249114084,0,0,0,0,0,651.282412613096,0,0,0,92.7255867515786,0,0,134.508268682786,0,0,435.086594674301,0,14.2980977809213,0,0,0
"gene319",0,0,0,0,0,0,0,6.06393393775788,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5851185267591,1.94544887477117,0,0,0,0,0,0,0,0,24.6636664825212,0,0,0,0,0,0,21.9516523708225,0,0,0,0,0,0,0,0,0,0,19.1460007128084,0,0,25.3736201155906,0,0,0,0,0,0,0,9.34602855381152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.69496680195477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78651708024883,0,3.25824519865154,6.99314237262441
"gene320",811.947117256175,0,0,274.430163467234,0,5.97413255868869,0,0,0,204.125948188145,0,0,109.785918991652,0,0,0,0,0,0,1570.5244256396,0,393.23982979872,201.154256213851,49.1793460363507,0,84.2167985237189,0,0,0,0,99.4707037036073,0,475.606077092157,0,0,59.9529242301758,0,0,68.8332282398344,0,0,0,85.0618781713056,227.13457587598,0,0,0,0,0,0,195.88894781611,0,2053.23366519503,0,174.468538466737,0,0,0,0,14.7060210722861,236.353482115307,54.3915909093299,0,0,0,0,0,0,0,0,0,0,0,57.9382314625357,0,0,13.4719838904379,0,0,0,7.80821283972049,0,0,84.3186912713673,0,0,0,0,2.45585055813255,89.4855715885145,30.7184938494153,0,0,11.4632152126973,220.182680701518,157.451276008375,0,0,159.915512072933,391.716682133538
"gene321",0,154.064259916182,115.800186745467,0,1086.78106881559,0,0,0,954.583675097436,63.2391274673325,183.410359149132,0,0,0,279.240796286961,0,0,998.519133462801,0,114.793364971949,0,91.7984943456756,477.746721208542,0,0,931.451705992019,644.554651132779,1862.26888168234,1764.26525017465,0,537.346976516595,0,0,0,1503.55088342605,582.964227501533,89.2557720875584,0,1799.89765996073,0,0,0,447.864924901649,0,0,183.11247005309,0,0,0,379.817364451562,0,341.10387346898,250.547673918946,0,0,0,0,0,0,835.192696469713,0,127.895725155439,0,3240.08644089515,735.87678750511,84.1874427874782,0,0,121.484436197208,424.893020863392,0,231.521488195441,116.125282863875,0,324.917642083223,286.615446902126,0,221.226044922288,0,0,65.3444450569951,0,816.43973060053,0,615.493930288294,0,0,0,33.9128163760606,1495.81980649592,330.83311694398,0,0,734.472830869831,0,590.149637192446,196.373738621827,0,0,0
"gene322",445.882661213544,0,2204.2772953964,1333.64825749859,1222.35300844866,1466.31794239292,4565.31264819757,1119.36705250867,0,45.2906390103265,766.135399702697,5503.66135556234,502.462033470088,8012.87840421345,688.009583735606,1567.20596129917,0,0,716.156496533734,0,981.88675791804,651.281104939011,0,0,361.578067011977,735.630581440708,0,0,0,1574.51525848357,0,0,379.421390768872,0,0,0,81.3742865979195,0,0,805.647193459687,265.015192923111,342.124010331146,2236.42895390146,0,1344.4029026521,537.53034392518,0,3103.2566587407,0,0,800.292839839093,210.439713776066,509.452287718743,0,365.410705563268,0,105.479965471053,0,2814.57406261809,0,0,0,1181.67017807255,0,803.467173095032,0,0,0,47100.3394703492,258.898884822641,969.188613096687,0,9676.43530068887,155.435706863842,0,57.7985744462435,0,0,0,0,0,4333.78392743716,682.098644897211,0,0,1163.51872783239,752.588476007963,928.620821002221,65.6287450492759,544.288687584679,193.95963663346,0,0,0,0,1554.63875424237,0,643.50113466878,2140.67548858745,0
"gene323",0,0,0,179.554327739887,0,0,66.3718146225936,93.2639219482775,0,1809.39244729368,214.566967292037,362.440378223462,0,0,0,322.924266461094,0,0,26.3157097627152,0,0,0,372.794646092882,0,273.265578090218,0,0,128.996812649355,559.945996175683,1808.87693131631,0,0,0,0,0,0,0,1027.39688637263,251.623684758634,0,0,0,45.714682718809,163.566411612938,399.418132630627,0,0,18.3369272035939,0,343.154161231975,57.8175374973996,0,444.477123376227,0,1236.28639632542,0,0,0,0,0,98.0595658339744,0,0,0,0,0,0,450.834256609449,0,0,36.1339043782774,124.112602930762,116.606783589919,0,0,47.7685959713165,0,0,0,39.4810078436531,26.2045159379437,0,197.321504827686,0,246.827719969714,0,69.3446714329456,0,0,401.597965635996,0,110.527170429368,0,40.8122114830764,0,0,0,709.771601494747,0,0
"gene324",4.93684042275087,0,0,0,0,32.8794858972551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.1074814782052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51685735951271,0,0,0,0,0,0,0,0,3.30871961855514,0,0,0,0,0,0,0,0,0,0,0,31.4637753756953,0,0,0,0,0,0,0,0,6.34187332962174,0,0,0,0,0,1.54271551641236,0,0,0,0,0,0
"gene325",0,0,0,251.980103679245,94.6877780899124,0,0,0,299.281091564682,0,0,0,0,0,46.1668917254033,999.981265617331,0,49.6929368023198,57.055001047437,64.2581081010916,241.150067203087,73.9814321010083,0,0,624.906005642691,635.34392377954,0,130.392689000034,0,0,71.2453131497541,0,0,0,0,0,55.7726062660361,36.4642295953023,0,482.166002096222,0,0,0,0,0,0,0,0,0,0,0,31.2887987236516,123.919168219889,0,0,0,0,0,0,0,0,0,0,0,0,14.7325830470502,133.282964123855,0,0,0,0,0,867.902723468629,45.2611055350265,612.72445759982,5.16523836585858,0,0,10.6251410129591,64.558857612854,0,0,66.0082796656313,0,0,79.106600162391,0,461.363717528047,0,0,0,0,0,31.4635516532898,0,7.6541417418265,0,243.346995049259,0,24.2156235396107
"gene326",0,0,2127.40124950684,0,171.158381892261,0,0,0,493.228820359192,0,0,0,0,0,0,101.906788146101,0,0,138.590913671479,0,0,0,0,0,39.2251312261713,0,0,0,0,69.8453053845265,273.330570919534,21.7992438497783,0,50.1691474309079,0,0,222.058812839066,64.6831276063383,0,0,0,94.4995763196325,591.115195711507,0,0,19.4205106004765,0,0,0,260.863685464599,0,0,55.7762856925554,265.181901387324,0,20.5218784046814,0,0,0,0,0,43.9790240160278,0,166.866284288941,0,0,0,0,26.2219017155488,0,0,138.226813128322,406.4375987469,0,667.301120358364,0,0,0,0,0,37.9494071484582,0,0,16.0410903292385,0,115.131713196151,425.755039255283,79.9065581537498,64.4024156948551,0,40.0924201744326,294.635965881763,149.054801463634,0,0,0,0,0,0,0
"gene327",0,0,0,0,367.278550998384,0,0,0,0,0,0,4.92512523051203,0,0,172.271164145408,0,0,0,0,0,53.5981705642973,0,63.5850151340649,0,0,0,0,108.781672567883,0,0,100.120375398861,0,0,0,0,0,0,1.38345873807229,97.8954586139954,0,0,0,0,0,5.72097366342978,0,0,0,0,0,0,0,41.7054631110963,39.2336529043423,8.17876393350751,0,29.2320084136388,1140.07603137099,0,0,0,0,0,0,0,0,76.1559042554149,15.1760045496513,0,0,0,0,0,0,0,0,0,6.71012714490447,0,0,0,9.77348909526835,83.3653240724117,0,0,20.7105899711852,0,0,0,0,44.0965567114073,0,0,0,16.3190299574114,0,0,22.3518908649126,0,0
"gene328",0,0,0,0,0,16.4017740487876,17.127072959075,269.166092294582,1453.74558205526,0,317.083655133971,0,0,5.60273090689867,0,0,39.8569494094134,0,35.5112014759212,0,0,0,344.546903544004,3007.14884723142,0,0,69.4179249485666,0,0,0,0,36.6581579213799,0,0,0,57.5129808105715,0,0,0,1789.51492153678,0,0,29.832420108554,19.0774743581558,13.173320651933,0,0,90.9863004623982,0,0,0,1407.5753359688,0,0,0,162.113375744141,0,109.116817158393,0,0,0,0,0,0,0,0,0,436.688082690864,0,10.1090216413519,3907.29625993127,0,7909.45622706895,0,0,0,0,0,0,0,0,0,0,12.8713103820296,201.236350250547,0,0,0,0,0,0,75.5407628315411,0,0,0,1.91388210754802,2493.61562551248,0,0,0
"gene329",0,0,0,21.1725853279806,0,0,0,2.08640455999897,0,0,23.8117508877773,0,0,0,0,0,0,0,0,0,7.17455903605145,0,0,0,0,0,0,888.725999549196,0,0,0,0,21.3448011865517,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306935607649776,0,0,0,370.900249313835,0,355.387058691369,0,0,0,13.3205501683726,1394.2450456309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.8950784321554,0,0,28.2276270384185,0,0,0,0,32.330814927944,17.7241858004802,0,0,36.0284491601249,0,750.159002142933,0,0,0,0,0,0
"gene330",5.9502219996288,79.0853357691366,23.1981419227531,0,0,233.831610005801,25.4987108235481,0,0,0,0,0,0,0,0,0,555.624099485706,62.1705323278149,0,122.205732843347,0,227.529073778826,0,0,0,0,0,0,190.32202124464,0,9.25159246685719,146.812094792453,0,0,37.2241941147371,0,0,103.468044519907,0,0,0,0,0,0,0,182.727769836297,0,0,375.39568785778,0,0,0,0,0,200.900265986811,0,0,49.0321200280668,0,193.820381087643,233.453349247739,322.387468423757,0,0,212.394167838731,398.552137771602,127.937126798831,0,33.3170171891713,388.99997425552,0,35.7992548482205,0,155.435003521144,0,0,0,99.4089928069804,0,0,296.859806964753,251.295199631276,658.315036769195,56.5121907544842,0,0,33.2535294670816,0,0,0,0,105.841434801951,0,180.665261269118,0,0,0,0,0,0
"gene331",0,0,0,30.5308988053461,0,2307.4542763454,297.118623775625,0,0,0,0,9.48568755725674,0,807.403182085275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.068037595533,0,25.6279839827297,0,224.11605732276,0,0,0,0,0,0,0,0,0,163.452516683369,0,0,0,0,0,0,0,156.24009392002,0,43.426796124837,0,0,0,0,0,0,14.2802303356796,0,0,0,0,0,0,1.00525132439482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.986529386242,60.9276317299933,0,0,21.3483041647524,13.0522551232078,0,38.6939872389575,0,134.533683911043,23.9091774276065,0,0,39.8885663126579,137.816107690153,24.518764169747,5.60677850158472,0
"gene332",0,0,0,0,4.67511658672551,4.98896957092233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4020462576671,0,0,0,0,0,0,0,0,0,0,21.5704791058535,0,0,0,0,0,0,0,0,0,0,0,0,0.724891092913475,1.7046035868688,0,0,0,0,0,13.6002081489319,4.37250195292407,8.31280427279783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40662650554674,0,0,0,0
"gene333",0,0,0,0,0,0,0,2.9920025736558,0,0,0,0,110.038774911315,149.065589220692,0,338.713198529493,0,0,0,0,0,0,0,700.712299525033,0,0,21.6398292882087,36.9038385111853,163.418079217863,0,10.1196787425793,0,0,0,0,0,0,0,0,0,0,0,5.54441253500237,0,0,0,0,0,0,0,37.7853703582778,0,0,0,0,0,0,0,0,136.667145164635,0,0,0,0,0,0,0,6.92715640587398,0,12.1911706479156,23.8612101782758,0,17.6009933950644,0,0,0,0,678.486213010302,0,0,0,0,0,0,3.03009595262432,0,0,27.2558005944276,152.890075883492,0,0,205.937715499942,0,0,0,0,0,121.009605357949,0,0
"gene334",157.25704093835,0,0,0,31.6639172602659,108.399124099893,0,0,0,757.843565902778,0,0,0,153.101223005492,45.7592110882297,0,1134.83081243941,1292.3210720105,808.529645922768,0,0,117.67929458032,0,40.5789748199117,0,144.662809195096,142.674490877113,202.281969777799,0,0,407.598384891218,0,0,0,76.1874982538581,0,0,0,1931.93019796633,371.743569161875,0,146.75597154581,120.352967131792,89.103135115739,12.1719043376294,0,1758.83765600347,0,0,0,707.110679445781,0,0,0,701.380847019134,38.2552934097761,150.008830827218,0,0,0,0,88.9553898033128,12755.831502547,204.328163483002,0,0,349.232258028663,0,0,0,0,260.327191624877,4713.0824369514,0,160.395152707853,764.36299551049,15.925778045401,237.117194254665,0,2102.56003991692,0,0,174.411723366164,164.198210095109,0,295.226580838724,0,0,0,622.174971256764,191.061392620303,150.970071952745,0,1066.03450782426,2463.96327037345,0,0,0,0,0
"gene335",0,0,57.7697595830239,13.829723463753,0,0,29.6439760054514,53.9118786618561,13.9214508608772,9.08322575368866,0,0,0,86.1984126102461,0,0,0,0,0,0,0,0,0,0,0,2.93934304883172,0,68.5928351684537,0,0,140.093617924128,0,121.240276307999,0,0,102.944764056996,0,0,0,95.658475117416,0,0,92.9230002810072,0,0,0,0,58.9711743398264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5987745594889,34.5363683488083,0,48.506063171626,0,0,0,23.5734441542023,0,0,0,0,6.06247911292214,0,0,0,0,4.67922271885037,173.625155103387,0,34.4100257138153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65976089589327,0
